1741592117.244148738 PING 10.0.0.2 (10.0.0.2) 56(84) bytes of data.
1741592117.245519590 64 bytes from 10.0.0.2: icmp_seq=1 ttl=64 time=40.3 ms
1741592117.429933120 64 bytes from 10.0.0.2: icmp_seq=2 ttl=64 time=127 ms
1741592117.575867728 64 bytes from 10.0.0.2: icmp_seq=3 ttl=64 time=171 ms
1741592117.754368735 64 bytes from 10.0.0.2: icmp_seq=5 ttl=64 time=148 ms
1741592117.884066567 64 bytes from 10.0.0.2: icmp_seq=6 ttl=64 time=171 ms
1741592118.078661295 64 bytes from 10.0.0.2: icmp_seq=8 ttl=64 time=165 ms
1741592118.192300019 64 bytes from 10.0.0.2: icmp_seq=9 ttl=64 time=175 ms
1741592118.241122228 64 bytes from 10.0.0.2: icmp_seq=10 ttl=64 time=123 ms
1741592118.314363981 64 bytes from 10.0.0.2: icmp_seq=11 ttl=64 time=96.0 ms
1741592118.460267345 64 bytes from 10.0.0.2: icmp_seq=12 ttl=64 time=142 ms
1741592118.589957363 64 bytes from 10.0.0.2: icmp_seq=13 ttl=64 time=169 ms
1741592118.784423293 64 bytes from 10.0.0.2: icmp_seq=15 ttl=64 time=162 ms
1741592118.865540585 64 bytes from 10.0.0.2: icmp_seq=16 ttl=64 time=141 ms
1741592118.995370901 64 bytes from 10.0.0.2: icmp_seq=17 ttl=64 time=170 ms
1741592119.092893412 64 bytes from 10.0.0.2: icmp_seq=18 ttl=64 time=167 ms
1741592119.190162665 64 bytes from 10.0.0.2: icmp_seq=19 ttl=64 time=164 ms
1741592119.247173507 64 bytes from 10.0.0.2: icmp_seq=20 ttl=64 time=120 ms
1741592119.360635476 64 bytes from 10.0.0.2: icmp_seq=21 ttl=64 time=133 ms
1741592119.458344988 64 bytes from 10.0.0.2: icmp_seq=22 ttl=64 time=130 ms
1741592119.571673407 64 bytes from 10.0.0.2: icmp_seq=23 ttl=64 time=143 ms
1741592119.677264312 64 bytes from 10.0.0.2: icmp_seq=24 ttl=64 time=148 ms
1741592119.887829132 64 bytes from 10.0.0.2: icmp_seq=26 ttl=64 time=158 ms
1741592120.001266681 64 bytes from 10.0.0.2: icmp_seq=27 ttl=64 time=168 ms
1741592120.074342800 64 bytes from 10.0.0.2: icmp_seq=28 ttl=64 time=141 ms
1741592120.179851907 64 bytes from 10.0.0.2: icmp_seq=29 ttl=64 time=146 ms
1741592120.277380318 64 bytes from 10.0.0.2: icmp_seq=30 ttl=64 time=143 ms
1741592120.390888526 64 bytes from 10.0.0.2: icmp_seq=31 ttl=64 time=156 ms
1741592120.456360808 64 bytes from 10.0.0.2: icmp_seq=32 ttl=64 time=121 ms
1741592120.579796812 64 bytes from 10.0.0.2: icmp_seq=33 ttl=64 time=144 ms
1741592120.701543748 64 bytes from 10.0.0.2: icmp_seq=34 ttl=64 time=165 ms
1741592120.887684688 64 bytes from 10.0.0.2: icmp_seq=36 ttl=64 time=150 ms
1741592121.114309190 64 bytes from 10.0.0.2: icmp_seq=38 ttl=64 time=172 ms
1741592121.404034198 64 bytes from 10.0.0.2: icmp_seq=41 ttl=64 time=155 ms
1741592121.501767848 64 bytes from 10.0.0.2: icmp_seq=42 ttl=64 time=149 ms
1741592121.689549015 64 bytes from 10.0.0.2: icmp_seq=44 ttl=64 time=136 ms
1741592121.899962489 64 bytes from 10.0.0.2: icmp_seq=46 ttl=64 time=142 ms
1741592122.263938499 64 bytes from 10.0.0.2: icmp_seq=50 ttl=64 time=95.0 ms
1741592122.369332201 64 bytes from 10.0.0.2: icmp_seq=51 ttl=64 time=100 ms
1741592122.482850993 64 bytes from 10.0.0.2: icmp_seq=52 ttl=64 time=113 ms
1741592122.782139152 64 bytes from 10.0.0.2: icmp_seq=55 ttl=64 time=105 ms
1741592122.895799942 64 bytes from 10.0.0.2: icmp_seq=56 ttl=64 time=115 ms
1741592122.985087326 64 bytes from 10.0.0.2: icmp_seq=57 ttl=64 time=104 ms
1741592123.082514037 64 bytes from 10.0.0.2: icmp_seq=58 ttl=64 time=101 ms
1741592123.180157534 64 bytes from 10.0.0.2: icmp_seq=59 ttl=64 time=97.6 ms
1741592123.293635144 64 bytes from 10.0.0.2: icmp_seq=60 ttl=64 time=111 ms
1741592123.390848538 64 bytes from 10.0.0.2: icmp_seq=61 ttl=64 time=106 ms
1741592123.488298522 64 bytes from 10.0.0.2: icmp_seq=62 ttl=64 time=103 ms
1741592123.593772675 64 bytes from 10.0.0.2: icmp_seq=63 ttl=64 time=108 ms
1741592123.699283249 64 bytes from 10.0.0.2: icmp_seq=64 ttl=64 time=113 ms
1741592123.788691457 64 bytes from 10.0.0.2: icmp_seq=65 ttl=64 time=102 ms
1741592123.894165940 64 bytes from 10.0.0.2: icmp_seq=66 ttl=64 time=107 ms
1741592123.991715318 64 bytes from 10.0.0.2: icmp_seq=67 ttl=64 time=104 ms
1741592124.089039303 64 bytes from 10.0.0.2: icmp_seq=68 ttl=64 time=101 ms
