1741592258.398586206 PING 10.0.0.2 (10.0.0.2) 56(84) bytes of data.
1741592258.400851988 64 bytes from 10.0.0.2: icmp_seq=1 ttl=64 time=40.3 ms
1741592258.586947231 64 bytes from 10.0.0.2: icmp_seq=2 ttl=64 time=128 ms
1741592258.797302489 64 bytes from 10.0.0.2: icmp_seq=3 ttl=64 time=236 ms
1741592258.991628403 64 bytes from 10.0.0.2: icmp_seq=4 ttl=64 time=330 ms
1741592259.177835491 64 bytes from 10.0.0.2: icmp_seq=5 ttl=64 time=413 ms
1741592259.275367742 64 bytes from 10.0.0.2: icmp_seq=6 ttl=64 time=410 ms
1741592259.388579919 64 bytes from 10.0.0.2: icmp_seq=7 ttl=64 time=420 ms
1741592259.494102203 64 bytes from 10.0.0.2: icmp_seq=8 ttl=64 time=425 ms
1741592259.591442730 64 bytes from 10.0.0.2: icmp_seq=9 ttl=64 time=419 ms
1741592259.705922723 64 bytes from 10.0.0.2: icmp_seq=10 ttl=64 time=432 ms
1741592259.811738660 64 bytes from 10.0.0.2: icmp_seq=11 ttl=64 time=437 ms
1741592259.909540695 64 bytes from 10.0.0.2: icmp_seq=12 ttl=64 time=435 ms
1741592260.023533991 64 bytes from 10.0.0.2: icmp_seq=13 ttl=64 time=448 ms
1741592260.129037307 64 bytes from 10.0.0.2: icmp_seq=14 ttl=64 time=453 ms
1741592260.226247983 64 bytes from 10.0.0.2: icmp_seq=15 ttl=64 time=450 ms
1741592260.324488320 64 bytes from 10.0.0.2: icmp_seq=16 ttl=64 time=448 ms
1741592260.454534456 64 bytes from 10.0.0.2: icmp_seq=17 ttl=64 time=477 ms
1741592260.560071409 64 bytes from 10.0.0.2: icmp_seq=18 ttl=64 time=482 ms
1741592260.657113272 64 bytes from 10.0.0.2: icmp_seq=19 ttl=64 time=479 ms
1741592260.770870505 64 bytes from 10.0.0.2: icmp_seq=20 ttl=64 time=492 ms
1741592260.876343867 64 bytes from 10.0.0.2: icmp_seq=21 ttl=64 time=498 ms
1741592260.973647284 64 bytes from 10.0.0.2: icmp_seq=22 ttl=64 time=494 ms
1741592261.087239566 64 bytes from 10.0.0.2: icmp_seq=23 ttl=64 time=507 ms
1741592261.184914901 64 bytes from 10.0.0.2: icmp_seq=24 ttl=64 time=505 ms
1741592261.290425586 64 bytes from 10.0.0.2: icmp_seq=25 ttl=64 time=509 ms
1741592261.404051348 64 bytes from 10.0.0.2: icmp_seq=26 ttl=64 time=517 ms
1741592261.501589017 64 bytes from 10.0.0.2: icmp_seq=27 ttl=64 time=514 ms
1741592261.606893345 64 bytes from 10.0.0.2: icmp_seq=28 ttl=64 time=519 ms
1741592261.720313065 64 bytes from 10.0.0.2: icmp_seq=29 ttl=64 time=525 ms
1741592261.833926840 64 bytes from 10.0.0.2: icmp_seq=30 ttl=64 time=533 ms
1741592261.931496638 64 bytes from 10.0.0.2: icmp_seq=31 ttl=64 time=530 ms
1741592262.037451648 64 bytes from 10.0.0.2: icmp_seq=32 ttl=64 time=536 ms
1741592262.150976666 64 bytes from 10.0.0.2: icmp_seq=33 ttl=64 time=546 ms
1741592262.264459829 64 bytes from 10.0.0.2: icmp_seq=34 ttl=64 time=558 ms
1741592262.370061873 64 bytes from 10.0.0.2: icmp_seq=35 ttl=64 time=563 ms
1741592262.467113472 64 bytes from 10.0.0.2: icmp_seq=36 ttl=64 time=560 ms
1741592262.655217215 64 bytes from 10.0.0.2: icmp_seq=37 ttl=64 time=648 ms
1741592262.760614142 64 bytes from 10.0.0.2: icmp_seq=38 ttl=64 time=652 ms
1741592262.858091347 64 bytes from 10.0.0.2: icmp_seq=39 ttl=64 time=649 ms
1741592262.955557579 64 bytes from 10.0.0.2: icmp_seq=40 ttl=64 time=646 ms
1741592263.069133305 64 bytes from 10.0.0.2: icmp_seq=41 ttl=64 time=659 ms
1741592263.174463450 64 bytes from 10.0.0.2: icmp_seq=42 ttl=64 time=664 ms
1741592263.336571453 64 bytes from 10.0.0.2: icmp_seq=43 ttl=64 time=724 ms
1741592263.434237328 64 bytes from 10.0.0.2: icmp_seq=44 ttl=64 time=722 ms
1741592263.515527555 64 bytes from 10.0.0.2: icmp_seq=45 ttl=64 time=702 ms
1741592263.621044368 64 bytes from 10.0.0.2: icmp_seq=46 ttl=64 time=708 ms
1741592263.734567913 64 bytes from 10.0.0.2: icmp_seq=47 ttl=64 time=721 ms
1741592263.815898597 64 bytes from 10.0.0.2: icmp_seq=48 ttl=64 time=701 ms
1741592263.913981417 64 bytes from 10.0.0.2: icmp_seq=49 ttl=64 time=699 ms
1741592263.995294705 64 bytes from 10.0.0.2: icmp_seq=50 ttl=64 time=678 ms
1741592264.052352221 64 bytes from 10.0.0.2: icmp_seq=51 ttl=64 time=634 ms
1741592264.125525723 64 bytes from 10.0.0.2: icmp_seq=52 ttl=64 time=600 ms
1741592264.198692706 64 bytes from 10.0.0.2: icmp_seq=53 ttl=64 time=568 ms
1741592264.263865200 64 bytes from 10.0.0.2: icmp_seq=54 ttl=64 time=531 ms
1741592264.377388686 64 bytes from 10.0.0.2: icmp_seq=55 ttl=64 time=543 ms
1741592264.474835892 64 bytes from 10.0.0.2: icmp_seq=56 ttl=64 time=541 ms
1741592264.580285827 64 bytes from 10.0.0.2: icmp_seq=57 ttl=64 time=546 ms
1741592264.701879124 64 bytes from 10.0.0.2: icmp_seq=58 ttl=64 time=566 ms
1741592264.799017661 64 bytes from 10.0.0.2: icmp_seq=59 ttl=64 time=564 ms
1741592264.872532858 64 bytes from 10.0.0.2: icmp_seq=60 ttl=64 time=537 ms
1741592264.953788703 64 bytes from 10.0.0.2: icmp_seq=61 ttl=64 time=517 ms
1741592265.067228609 64 bytes from 10.0.0.2: icmp_seq=62 ttl=64 time=530 ms
1741592265.132386377 64 bytes from 10.0.0.2: icmp_seq=63 ttl=64 time=495 ms
1741592265.205775038 64 bytes from 10.0.0.2: icmp_seq=64 ttl=64 time=469 ms
1741592265.270820964 64 bytes from 10.0.0.2: icmp_seq=65 ttl=64 time=433 ms
1741592265.368239873 64 bytes from 10.0.0.2: icmp_seq=66 ttl=64 time=431 ms
1741592265.497924556 64 bytes from 10.0.0.2: icmp_seq=67 ttl=64 time=460 ms
1741592265.603488840 64 bytes from 10.0.0.2: icmp_seq=68 ttl=64 time=461 ms
1741592265.717027591 64 bytes from 10.0.0.2: icmp_seq=69 ttl=64 time=474 ms
