1741592193.377770246 PING 10.0.0.2 (10.0.0.2) 56(84) bytes of data.
1741592193.379030768 64 bytes from 10.0.0.2: icmp_seq=1 ttl=64 time=40.5 ms
1741592193.563738167 64 bytes from 10.0.0.2: icmp_seq=2 ttl=64 time=126 ms
1741592193.774683940 64 bytes from 10.0.0.2: icmp_seq=3 ttl=64 time=234 ms
1741592193.969267355 64 bytes from 10.0.0.2: icmp_seq=4 ttl=64 time=327 ms
1741592194.187610983 64 bytes from 10.0.0.2: icmp_seq=5 ttl=64 time=443 ms
1741592194.389966037 64 bytes from 10.0.0.2: icmp_seq=6 ttl=64 time=544 ms
1741592194.584381134 64 bytes from 10.0.0.2: icmp_seq=7 ttl=64 time=631 ms
1741592194.803242977 64 bytes from 10.0.0.2: icmp_seq=8 ttl=64 time=750 ms
1741592195.029732920 64 bytes from 10.0.0.2: icmp_seq=10 ttl=64 time=772 ms
1741592195.126919508 64 bytes from 10.0.0.2: icmp_seq=11 ttl=64 time=766 ms
1741592195.216418733 64 bytes from 10.0.0.2: icmp_seq=12 ttl=64 time=755 ms
1741592195.297596478 64 bytes from 10.0.0.2: icmp_seq=13 ttl=64 time=733 ms
1741592195.395068701 64 bytes from 10.0.0.2: icmp_seq=14 ttl=64 time=729 ms
1741592195.484421403 64 bytes from 10.0.0.2: icmp_seq=15 ttl=64 time=715 ms
1741592195.557565370 64 bytes from 10.0.0.2: icmp_seq=16 ttl=64 time=688 ms
1741592195.606401962 64 bytes from 10.0.0.2: icmp_seq=17 ttl=64 time=634 ms
1741592195.647390027 64 bytes from 10.0.0.2: icmp_seq=18 ttl=64 time=574 ms
1741592195.704573493 64 bytes from 10.0.0.2: icmp_seq=19 ttl=64 time=530 ms
1741592195.753467539 64 bytes from 10.0.0.2: icmp_seq=20 ttl=64 time=479 ms
1741592195.842788759 64 bytes from 10.0.0.2: icmp_seq=21 ttl=64 time=468 ms
1741592195.940255934 64 bytes from 10.0.0.2: icmp_seq=22 ttl=64 time=465 ms
1741592196.166789240 64 bytes from 10.0.0.2: icmp_seq=24 ttl=64 time=491 ms
1741592196.264404436 64 bytes from 10.0.0.2: icmp_seq=25 ttl=64 time=488 ms
1741592196.377761091 64 bytes from 10.0.0.2: icmp_seq=26 ttl=64 time=501 ms
1741592196.467316026 64 bytes from 10.0.0.2: icmp_seq=27 ttl=64 time=490 ms
1741592196.580641578 64 bytes from 10.0.0.2: icmp_seq=28 ttl=64 time=500 ms
1741592196.686138669 64 bytes from 10.0.0.2: icmp_seq=29 ttl=64 time=504 ms
1741592196.888869265 64 bytes from 10.0.0.2: icmp_seq=31 ttl=64 time=501 ms
1741592196.986439301 64 bytes from 10.0.0.2: icmp_seq=32 ttl=64 time=498 ms
1741592197.164688986 64 bytes from 10.0.0.2: icmp_seq=33 ttl=64 time=574 ms
1741592197.358955609 64 bytes from 10.0.0.2: icmp_seq=34 ttl=64 time=663 ms
1741592197.440099957 64 bytes from 10.0.0.2: icmp_seq=35 ttl=64 time=643 ms
1741592197.563838745 64 bytes from 10.0.0.2: icmp_seq=37 ttl=64 time=564 ms
1741592197.620522172 64 bytes from 10.0.0.2: icmp_seq=38 ttl=64 time=520 ms
1741592197.669464701 64 bytes from 10.0.0.2: icmp_seq=39 ttl=64 time=468 ms
1741592197.718480937 64 bytes from 10.0.0.2: icmp_seq=40 ttl=64 time=410 ms
1741592197.775704708 64 bytes from 10.0.0.2: icmp_seq=41 ttl=64 time=366 ms
1741592197.921326111 64 bytes from 10.0.0.2: icmp_seq=42 ttl=64 time=412 ms
1741592198.019106051 64 bytes from 10.0.0.2: icmp_seq=43 ttl=64 time=409 ms
1741592198.116332103 64 bytes from 10.0.0.2: icmp_seq=44 ttl=64 time=407 ms
1741592198.270119779 64 bytes from 10.0.0.2: icmp_seq=45 ttl=64 time=460 ms
1741592198.335431276 64 bytes from 10.0.0.2: icmp_seq=46 ttl=64 time=418 ms
1741592198.384373451 64 bytes from 10.0.0.2: icmp_seq=47 ttl=64 time=367 ms
1741592198.441480950 64 bytes from 10.0.0.2: icmp_seq=48 ttl=64 time=315 ms
1741592198.490408329 64 bytes from 10.0.0.2: icmp_seq=49 ttl=64 time=261 ms
1741592198.571778600 64 bytes from 10.0.0.2: icmp_seq=50 ttl=64 time=242 ms
1741592198.669134007 64 bytes from 10.0.0.2: icmp_seq=51 ttl=64 time=239 ms
1741592198.782404111 64 bytes from 10.0.0.2: icmp_seq=52 ttl=64 time=251 ms
1741592198.888093278 64 bytes from 10.0.0.2: icmp_seq=53 ttl=64 time=256 ms
1741592198.993650789 64 bytes from 10.0.0.2: icmp_seq=54 ttl=64 time=262 ms
1741592199.099190162 64 bytes from 10.0.0.2: icmp_seq=55 ttl=64 time=267 ms
1741592199.204545425 64 bytes from 10.0.0.2: icmp_seq=56 ttl=64 time=272 ms
1741592199.318161388 64 bytes from 10.0.0.2: icmp_seq=57 ttl=64 time=285 ms
1741592199.423659833 64 bytes from 10.0.0.2: icmp_seq=58 ttl=64 time=290 ms
1741592199.520920060 64 bytes from 10.0.0.2: icmp_seq=59 ttl=64 time=287 ms
1741592199.626350378 64 bytes from 10.0.0.2: icmp_seq=60 ttl=64 time=292 ms
1741592199.739992454 64 bytes from 10.0.0.2: icmp_seq=61 ttl=64 time=305 ms
1741592199.845440630 64 bytes from 10.0.0.2: icmp_seq=62 ttl=64 time=310 ms
1741592199.934882977 64 bytes from 10.0.0.2: icmp_seq=63 ttl=64 time=298 ms
1741592200.056408501 64 bytes from 10.0.0.2: icmp_seq=64 ttl=64 time=320 ms
1741592200.162156173 64 bytes from 10.0.0.2: icmp_seq=65 ttl=64 time=325 ms
1741592200.267386115 64 bytes from 10.0.0.2: icmp_seq=66 ttl=64 time=322 ms
