1741594144.658464166 PING 10.0.0.2 (10.0.0.2) 56(84) bytes of data.
1741594144.659957673 64 bytes from 10.0.0.2: icmp_seq=1 ttl=64 time=41.1 ms
1741594144.844689421 64 bytes from 10.0.0.2: icmp_seq=2 ttl=64 time=127 ms
1741594145.038954702 64 bytes from 10.0.0.2: icmp_seq=3 ttl=64 time=218 ms
1741594145.136464566 64 bytes from 10.0.0.2: icmp_seq=4 ttl=64 time=215 ms
1741594145.249865095 64 bytes from 10.0.0.2: icmp_seq=5 ttl=64 time=225 ms
1741594145.347378032 64 bytes from 10.0.0.2: icmp_seq=6 ttl=64 time=222 ms
1741594145.444835904 64 bytes from 10.0.0.2: icmp_seq=7 ttl=64 time=219 ms
1741594145.542006915 64 bytes from 10.0.0.2: icmp_seq=8 ttl=64 time=216 ms
1741594145.640827377 64 bytes from 10.0.0.2: icmp_seq=9 ttl=64 time=213 ms
1741594145.753181299 64 bytes from 10.0.0.2: icmp_seq=10 ttl=64 time=226 ms
1741594145.802088256 64 bytes from 10.0.0.2: icmp_seq=11 ttl=64 time=175 ms
1741594145.850846973 64 bytes from 10.0.0.2: icmp_seq=12 ttl=64 time=123 ms
1741594145.948666908 64 bytes from 10.0.0.2: icmp_seq=13 ttl=64 time=120 ms
1741594146.094465520 64 bytes from 10.0.0.2: icmp_seq=14 ttl=64 time=165 ms
1741594146.224018752 64 bytes from 10.0.0.2: icmp_seq=15 ttl=64 time=194 ms
1741594146.354003797 64 bytes from 10.0.0.2: icmp_seq=16 ttl=64 time=223 ms
1741594146.427081673 64 bytes from 10.0.0.2: icmp_seq=17 ttl=64 time=193 ms
1741594146.532487144 64 bytes from 10.0.0.2: icmp_seq=18 ttl=64 time=196 ms
1741594146.629947259 64 bytes from 10.0.0.2: icmp_seq=19 ttl=64 time=193 ms
1741594146.743419510 64 bytes from 10.0.0.2: icmp_seq=20 ttl=64 time=201 ms
1741594146.840899654 64 bytes from 10.0.0.2: icmp_seq=21 ttl=64 time=198 ms
1741594146.938205273 64 bytes from 10.0.0.2: icmp_seq=22 ttl=64 time=195 ms
1741594147.019514789 64 bytes from 10.0.0.2: icmp_seq=23 ttl=64 time=169 ms
1741594147.116824249 64 bytes from 10.0.0.2: icmp_seq=24 ttl=64 time=166 ms
1741594147.222479270 64 bytes from 10.0.0.2: icmp_seq=25 ttl=64 time=171 ms
1741594147.311875792 64 bytes from 10.0.0.2: icmp_seq=26 ttl=64 time=160 ms
1741594147.409166877 64 bytes from 10.0.0.2: icmp_seq=27 ttl=64 time=157 ms
1741594147.524334765 64 bytes from 10.0.0.2: icmp_seq=28 ttl=64 time=170 ms
1741594147.636187006 64 bytes from 10.0.0.2: icmp_seq=29 ttl=64 time=183 ms
1741594147.717553985 64 bytes from 10.0.0.2: icmp_seq=30 ttl=64 time=164 ms
1741594147.815108603 64 bytes from 10.0.0.2: icmp_seq=31 ttl=64 time=161 ms
1741594147.921034467 64 bytes from 10.0.0.2: icmp_seq=32 ttl=64 time=167 ms
1741594148.076663998 64 bytes from 10.0.0.2: icmp_seq=33 ttl=64 time=222 ms
1741594148.190252502 64 bytes from 10.0.0.2: icmp_seq=34 ttl=64 time=235 ms
1741594148.336019559 64 bytes from 10.0.0.2: icmp_seq=35 ttl=64 time=279 ms
1741594148.473891464 64 bytes from 10.0.0.2: icmp_seq=36 ttl=64 time=316 ms
1741594148.619496198 64 bytes from 10.0.0.2: icmp_seq=37 ttl=64 time=361 ms
1741594148.749491368 64 bytes from 10.0.0.2: icmp_seq=38 ttl=64 time=390 ms
1741594148.903433636 64 bytes from 10.0.0.2: icmp_seq=39 ttl=64 time=442 ms
1741594149.000921133 64 bytes from 10.0.0.2: icmp_seq=40 ttl=64 time=439 ms
1741594149.130466968 64 bytes from 10.0.0.2: icmp_seq=41 ttl=64 time=468 ms
1741594149.244033421 64 bytes from 10.0.0.2: icmp_seq=42 ttl=64 time=482 ms
1741594149.406091743 64 bytes from 10.0.0.2: icmp_seq=43 ttl=64 time=541 ms
1741594149.503606313 64 bytes from 10.0.0.2: icmp_seq=44 ttl=64 time=538 ms
1741594149.633280074 64 bytes from 10.0.0.2: icmp_seq=45 ttl=64 time=567 ms
1741594149.730753898 64 bytes from 10.0.0.2: icmp_seq=46 ttl=64 time=564 ms
1741594149.844031229 64 bytes from 10.0.0.2: icmp_seq=47 ttl=64 time=577 ms
1741594149.925452405 64 bytes from 10.0.0.2: icmp_seq=48 ttl=64 time=557 ms
1741594150.022843113 64 bytes from 10.0.0.2: icmp_seq=49 ttl=64 time=554 ms
1741594150.136525552 64 bytes from 10.0.0.2: icmp_seq=50 ttl=64 time=567 ms
1741594150.233946150 64 bytes from 10.0.0.2: icmp_seq=51 ttl=64 time=564 ms
1741594150.331340646 64 bytes from 10.0.0.2: icmp_seq=52 ttl=64 time=561 ms
1741594150.428617962 64 bytes from 10.0.0.2: icmp_seq=53 ttl=64 time=558 ms
1741594150.526051627 64 bytes from 10.0.0.2: icmp_seq=54 ttl=64 time=556 ms
1741594150.615473648 64 bytes from 10.0.0.2: icmp_seq=55 ttl=64 time=544 ms
1741594150.753178908 64 bytes from 10.0.0.2: icmp_seq=56 ttl=64 time=582 ms
1741594150.850584727 64 bytes from 10.0.0.2: icmp_seq=57 ttl=64 time=579 ms
1741594150.948017007 64 bytes from 10.0.0.2: icmp_seq=58 ttl=64 time=576 ms
1741594151.045792061 64 bytes from 10.0.0.2: icmp_seq=59 ttl=64 time=573 ms
1741594151.110849821 64 bytes from 10.0.0.2: icmp_seq=60 ttl=64 time=537 ms
1741594151.216241037 64 bytes from 10.0.0.2: icmp_seq=61 ttl=64 time=543 ms
1741594151.257150171 64 bytes from 10.0.0.2: icmp_seq=62 ttl=64 time=484 ms
1741594151.281841759 64 bytes from 10.0.0.2: icmp_seq=63 ttl=64 time=408 ms
1741594151.306602796 64 bytes from 10.0.0.2: icmp_seq=64 ttl=64 time=332 ms
1741594151.387718906 64 bytes from 10.0.0.2: icmp_seq=65 ttl=64 time=313 ms
1741594151.573992865 64 bytes from 10.0.0.2: icmp_seq=66 ttl=64 time=398 ms
1741594151.679628620 64 bytes from 10.0.0.2: icmp_seq=67 ttl=64 time=403 ms
1741594151.740653533 64 bytes from 10.0.0.2: icmp_seq=68 ttl=64 time=364 ms
1741594151.805805880 64 bytes from 10.0.0.2: icmp_seq=69 ttl=64 time=329 ms
1741594151.886982254 64 bytes from 10.0.0.2: icmp_seq=70 ttl=64 time=303 ms
1741594151.903572485 64 bytes from 10.0.0.2: icmp_seq=71 ttl=64 time=214 ms
1741594151.969074924 64 bytes from 10.0.0.2: icmp_seq=72 ttl=64 time=179 ms
1741594152.050518355 64 bytes from 10.0.0.2: icmp_seq=73 ttl=64 time=153 ms
1741594152.099787552 64 bytes from 10.0.0.2: icmp_seq=74 ttl=64 time=102 ms
1741594152.157137046 64 bytes from 10.0.0.2: icmp_seq=75 ttl=64 time=59.2 ms
1741594152.237990481 64 bytes from 10.0.0.2: icmp_seq=76 ttl=64 time=40.1 ms
1741594152.347705379 64 bytes from 10.0.0.2: icmp_seq=77 ttl=64 time=49.3 ms
1741594152.485458674 64 bytes from 10.0.0.2: icmp_seq=78 ttl=64 time=86.6 ms
1741594152.615302260 64 bytes from 10.0.0.2: icmp_seq=79 ttl=64 time=116 ms
1741594152.712882891 64 bytes from 10.0.0.2: icmp_seq=80 ttl=64 time=112 ms
1741594152.826334366 64 bytes from 10.0.0.2: icmp_seq=81 ttl=64 time=125 ms
1741594152.948013671 64 bytes from 10.0.0.2: icmp_seq=82 ttl=64 time=146 ms
1741594153.061612629 64 bytes from 10.0.0.2: icmp_seq=83 ttl=64 time=159 ms
1741594153.175326611 64 bytes from 10.0.0.2: icmp_seq=84 ttl=64 time=172 ms
1741594153.280867504 64 bytes from 10.0.0.2: icmp_seq=85 ttl=64 time=177 ms
1741594153.394171708 64 bytes from 10.0.0.2: icmp_seq=86 ttl=64 time=190 ms
1741594153.491776749 64 bytes from 10.0.0.2: icmp_seq=87 ttl=64 time=187 ms
1741594153.580985282 64 bytes from 10.0.0.2: icmp_seq=88 ttl=64 time=176 ms
1741594153.670413581 64 bytes from 10.0.0.2: icmp_seq=89 ttl=64 time=165 ms
1741594153.791934251 64 bytes from 10.0.0.2: icmp_seq=90 ttl=64 time=186 ms
1741594153.881380393 64 bytes from 10.0.0.2: icmp_seq=91 ttl=64 time=175 ms
1741594153.978807129 64 bytes from 10.0.0.2: icmp_seq=92 ttl=64 time=173 ms
1741594154.084405101 64 bytes from 10.0.0.2: icmp_seq=93 ttl=64 time=178 ms
1741594154.141496856 64 bytes from 10.0.0.2: icmp_seq=94 ttl=64 time=134 ms
1741594154.255026177 64 bytes from 10.0.0.2: icmp_seq=95 ttl=64 time=147 ms
1741594154.360506595 64 bytes from 10.0.0.2: icmp_seq=96 ttl=64 time=152 ms
1741594154.473928965 64 bytes from 10.0.0.2: icmp_seq=97 ttl=64 time=165 ms
1741594154.554993776 64 bytes from 10.0.0.2: icmp_seq=98 ttl=64 time=146 ms
1741594154.660759079 64 bytes from 10.0.0.2: icmp_seq=99 ttl=64 time=151 ms
1741594154.774268838 64 bytes from 10.0.0.2: icmp_seq=100 ttl=64 time=164 ms
1741594154.871632274 64 bytes from 10.0.0.2: icmp_seq=101 ttl=64 time=161 ms
1741594154.953401141 64 bytes from 10.0.0.2: icmp_seq=102 ttl=64 time=143 ms
1741594155.133226083 64 bytes from 10.0.0.2: icmp_seq=103 ttl=64 time=222 ms
1741594155.230657839 64 bytes from 10.0.0.2: icmp_seq=104 ttl=64 time=219 ms
1741594155.408800372 64 bytes from 10.0.0.2: icmp_seq=105 ttl=64 time=296 ms
1741594155.522586428 64 bytes from 10.0.0.2: icmp_seq=106 ttl=64 time=309 ms
1741594155.668668505 64 bytes from 10.0.0.2: icmp_seq=107 ttl=64 time=354 ms
1741594155.805980817 64 bytes from 10.0.0.2: icmp_seq=108 ttl=64 time=387 ms
1741594155.935875975 64 bytes from 10.0.0.2: icmp_seq=109 ttl=64 time=415 ms
1741594156.065473063 64 bytes from 10.0.0.2: icmp_seq=110 ttl=64 time=444 ms
1741594156.163041598 64 bytes from 10.0.0.2: icmp_seq=111 ttl=64 time=440 ms
1741594156.292716078 64 bytes from 10.0.0.2: icmp_seq=112 ttl=64 time=469 ms
1741594156.406117460 64 bytes from 10.0.0.2: icmp_seq=113 ttl=64 time=481 ms
1741594156.519948732 64 bytes from 10.0.0.2: icmp_seq=114 ttl=64 time=494 ms
1741594156.617286216 64 bytes from 10.0.0.2: icmp_seq=115 ttl=64 time=491 ms
1741594156.730693845 64 bytes from 10.0.0.2: icmp_seq=116 ttl=64 time=504 ms
1741594156.844366555 64 bytes from 10.0.0.2: icmp_seq=117 ttl=64 time=517 ms
1741594156.933560945 64 bytes from 10.0.0.2: icmp_seq=118 ttl=64 time=505 ms
1741594157.031104385 64 bytes from 10.0.0.2: icmp_seq=119 ttl=64 time=501 ms
1741594157.128433301 64 bytes from 10.0.0.2: icmp_seq=120 ttl=64 time=498 ms
1741594157.225912188 64 bytes from 10.0.0.2: icmp_seq=121 ttl=64 time=495 ms
1741594157.339500653 64 bytes from 10.0.0.2: icmp_seq=122 ttl=64 time=506 ms
1741594157.429164695 64 bytes from 10.0.0.2: icmp_seq=123 ttl=64 time=495 ms
1741594157.551836269 64 bytes from 10.0.0.2: icmp_seq=124 ttl=64 time=509 ms
1741594157.647972690 64 bytes from 10.0.0.2: icmp_seq=125 ttl=64 time=506 ms
1741594157.745266389 64 bytes from 10.0.0.2: icmp_seq=126 ttl=64 time=503 ms
