1741593842.980661804 PING 10.0.0.2 (10.0.0.2) 56(84) bytes of data.
1741593842.982260634 64 bytes from 10.0.0.2: icmp_seq=1 ttl=64 time=40.2 ms
1741593843.158942784 64 bytes from 10.0.0.2: icmp_seq=2 ttl=64 time=125 ms
1741593843.304901784 64 bytes from 10.0.0.2: icmp_seq=3 ttl=64 time=168 ms
1741593843.402160515 64 bytes from 10.0.0.2: icmp_seq=4 ttl=64 time=165 ms
1741593843.443135027 64 bytes from 10.0.0.2: icmp_seq=5 ttl=64 time=105 ms
1741593843.548858511 64 bytes from 10.0.0.2: icmp_seq=6 ttl=64 time=110 ms
1741593843.694491200 64 bytes from 10.0.0.2: icmp_seq=7 ttl=64 time=155 ms
1741593843.783861419 64 bytes from 10.0.0.2: icmp_seq=8 ttl=64 time=144 ms
1741593843.897307964 64 bytes from 10.0.0.2: icmp_seq=9 ttl=64 time=157 ms
1741593843.962522566 64 bytes from 10.0.0.2: icmp_seq=10 ttl=64 time=122 ms
1741593844.059887213 64 bytes from 10.0.0.2: icmp_seq=11 ttl=64 time=118 ms
1741593844.157439667 64 bytes from 10.0.0.2: icmp_seq=12 ttl=64 time=116 ms
1741593844.287009956 64 bytes from 10.0.0.2: icmp_seq=13 ttl=64 time=145 ms
1741593844.384444027 64 bytes from 10.0.0.2: icmp_seq=14 ttl=64 time=142 ms
1741593844.482179054 64 bytes from 10.0.0.2: icmp_seq=15 ttl=64 time=139 ms
1741593844.579192035 64 bytes from 10.0.0.2: icmp_seq=16 ttl=64 time=136 ms
1741593844.676813363 64 bytes from 10.0.0.2: icmp_seq=17 ttl=64 time=133 ms
1741593844.798317307 64 bytes from 10.0.0.2: icmp_seq=18 ttl=64 time=154 ms
1741593844.879639282 64 bytes from 10.0.0.2: icmp_seq=19 ttl=64 time=135 ms
1741593844.977058211 64 bytes from 10.0.0.2: icmp_seq=20 ttl=64 time=132 ms
1741593845.098763137 64 bytes from 10.0.0.2: icmp_seq=21 ttl=64 time=153 ms
1741593845.196179667 64 bytes from 10.0.0.2: icmp_seq=22 ttl=64 time=150 ms
1741593845.293531518 64 bytes from 10.0.0.2: icmp_seq=23 ttl=64 time=147 ms
1741593845.407134730 64 bytes from 10.0.0.2: icmp_seq=24 ttl=64 time=160 ms
1741593845.504625344 64 bytes from 10.0.0.2: icmp_seq=25 ttl=64 time=157 ms
1741593845.593901497 64 bytes from 10.0.0.2: icmp_seq=26 ttl=64 time=146 ms
1741593845.642897058 64 bytes from 10.0.0.2: icmp_seq=27 ttl=64 time=94.2 ms
1741593845.732146749 64 bytes from 10.0.0.2: icmp_seq=28 ttl=64 time=83.5 ms
1741593845.829596868 64 bytes from 10.0.0.2: icmp_seq=29 ttl=64 time=81.3 ms
1741593845.952870082 64 bytes from 10.0.0.2: icmp_seq=30 ttl=64 time=94.5 ms
1741593846.040547939 64 bytes from 10.0.0.2: icmp_seq=31 ttl=64 time=91.9 ms
1741593846.138387212 64 bytes from 10.0.0.2: icmp_seq=32 ttl=64 time=89.7 ms
1741593846.277861566 64 bytes from 10.0.0.2: icmp_seq=33 ttl=64 time=128 ms
1741593846.407655347 64 bytes from 10.0.0.2: icmp_seq=34 ttl=64 time=155 ms
1741593846.481345993 64 bytes from 10.0.0.2: icmp_seq=35 ttl=64 time=128 ms
1741593846.578246367 64 bytes from 10.0.0.2: icmp_seq=36 ttl=64 time=124 ms
1741593846.699955995 64 bytes from 10.0.0.2: icmp_seq=37 ttl=64 time=146 ms
1741593846.813514127 64 bytes from 10.0.0.2: icmp_seq=38 ttl=64 time=159 ms
1741593846.862396442 64 bytes from 10.0.0.2: icmp_seq=39 ttl=64 time=107 ms
1741593846.967882282 64 bytes from 10.0.0.2: icmp_seq=40 ttl=64 time=112 ms
1741593847.073391045 64 bytes from 10.0.0.2: icmp_seq=41 ttl=64 time=117 ms
1741593847.179028593 64 bytes from 10.0.0.2: icmp_seq=42 ttl=64 time=122 ms
1741593847.292504443 64 bytes from 10.0.0.2: icmp_seq=43 ttl=64 time=135 ms
1741593847.397920402 64 bytes from 10.0.0.2: icmp_seq=44 ttl=64 time=140 ms
1741593847.495502855 64 bytes from 10.0.0.2: icmp_seq=45 ttl=64 time=137 ms
1741593847.576683972 64 bytes from 10.0.0.2: icmp_seq=46 ttl=64 time=118 ms
1741593847.673999279 64 bytes from 10.0.0.2: icmp_seq=47 ttl=64 time=115 ms
1741593847.795717986 64 bytes from 10.0.0.2: icmp_seq=48 ttl=64 time=136 ms
1741593847.893073926 64 bytes from 10.0.0.2: icmp_seq=49 ttl=64 time=133 ms
1741593848.103600687 64 bytes from 10.0.0.2: icmp_seq=51 ttl=64 time=142 ms
1741593848.208980373 64 bytes from 10.0.0.2: icmp_seq=52 ttl=64 time=144 ms
1741593848.314471865 64 bytes from 10.0.0.2: icmp_seq=53 ttl=64 time=149 ms
1741593848.500723642 64 bytes from 10.0.0.2: icmp_seq=55 ttl=64 time=134 ms
1741593848.606243363 64 bytes from 10.0.0.2: icmp_seq=56 ttl=64 time=137 ms
1741593848.703715833 64 bytes from 10.0.0.2: icmp_seq=57 ttl=64 time=135 ms
1741593848.801117644 64 bytes from 10.0.0.2: icmp_seq=58 ttl=64 time=132 ms
1741593848.890485801 64 bytes from 10.0.0.2: icmp_seq=59 ttl=64 time=122 ms
1741593849.004039365 64 bytes from 10.0.0.2: icmp_seq=60 ttl=64 time=135 ms
1741593849.109688485 64 bytes from 10.0.0.2: icmp_seq=61 ttl=64 time=140 ms
1741593849.215106622 64 bytes from 10.0.0.2: icmp_seq=62 ttl=64 time=145 ms
1741593849.312640339 64 bytes from 10.0.0.2: icmp_seq=63 ttl=64 time=142 ms
1741593849.401790104 64 bytes from 10.0.0.2: icmp_seq=64 ttl=64 time=131 ms
1741593849.499208260 64 bytes from 10.0.0.2: icmp_seq=65 ttl=64 time=128 ms
1741593849.588671390 64 bytes from 10.0.0.2: icmp_seq=66 ttl=64 time=117 ms
1741593849.694177736 64 bytes from 10.0.0.2: icmp_seq=67 ttl=64 time=122 ms
1741593849.791839633 64 bytes from 10.0.0.2: icmp_seq=68 ttl=64 time=119 ms
1741593849.897290114 64 bytes from 10.0.0.2: icmp_seq=69 ttl=64 time=124 ms
1741593850.011002798 64 bytes from 10.0.0.2: icmp_seq=70 ttl=64 time=137 ms
1741593850.108334079 64 bytes from 10.0.0.2: icmp_seq=71 ttl=64 time=134 ms
1741593850.205729865 64 bytes from 10.0.0.2: icmp_seq=72 ttl=64 time=131 ms
1741593850.319393840 64 bytes from 10.0.0.2: icmp_seq=73 ttl=64 time=144 ms
1741593850.416755483 64 bytes from 10.0.0.2: icmp_seq=74 ttl=64 time=141 ms
1741593850.546576037 64 bytes from 10.0.0.2: icmp_seq=75 ttl=64 time=170 ms
1741593850.627861862 64 bytes from 10.0.0.2: icmp_seq=76 ttl=64 time=151 ms
1741593850.717204927 64 bytes from 10.0.0.2: icmp_seq=77 ttl=64 time=139 ms
1741593850.822551980 64 bytes from 10.0.0.2: icmp_seq=78 ttl=64 time=145 ms
1741593850.928225070 64 bytes from 10.0.0.2: icmp_seq=79 ttl=64 time=151 ms
1741593850.973101242 64 bytes from 10.0.0.2: icmp_seq=80 ttl=64 time=95.3 ms
1741593851.078574519 64 bytes from 10.0.0.2: icmp_seq=81 ttl=64 time=101 ms
1741593851.159724473 64 bytes from 10.0.0.2: icmp_seq=82 ttl=64 time=81.2 ms
1741593851.273919397 64 bytes from 10.0.0.2: icmp_seq=83 ttl=64 time=94.8 ms
1741593851.371417446 64 bytes from 10.0.0.2: icmp_seq=84 ttl=64 time=92.2 ms
1741593851.468553277 64 bytes from 10.0.0.2: icmp_seq=85 ttl=64 time=89.6 ms
1741593851.574023663 64 bytes from 10.0.0.2: icmp_seq=86 ttl=64 time=94.4 ms
1741593851.687561453 64 bytes from 10.0.0.2: icmp_seq=87 ttl=64 time=108 ms
1741593851.784959987 64 bytes from 10.0.0.2: icmp_seq=88 ttl=64 time=104 ms
1741593851.890475622 64 bytes from 10.0.0.2: icmp_seq=89 ttl=64 time=109 ms
1741593852.004100756 64 bytes from 10.0.0.2: icmp_seq=90 ttl=64 time=122 ms
1741593852.101499979 64 bytes from 10.0.0.2: icmp_seq=91 ttl=64 time=119 ms
1741593852.198778707 64 bytes from 10.0.0.2: icmp_seq=92 ttl=64 time=116 ms
1741593852.320562675 64 bytes from 10.0.0.2: icmp_seq=93 ttl=64 time=137 ms
1741593852.410156907 64 bytes from 10.0.0.2: icmp_seq=94 ttl=64 time=126 ms
1741593852.523514601 64 bytes from 10.0.0.2: icmp_seq=95 ttl=64 time=139 ms
