1741593998.518767987 PING 10.0.0.2 (10.0.0.2) 56(84) bytes of data.
1741593998.520335765 64 bytes from 10.0.0.2: icmp_seq=1 ttl=64 time=40.2 ms
1741593998.706470292 64 bytes from 10.0.0.2: icmp_seq=2 ttl=64 time=128 ms
1741593998.917381660 64 bytes from 10.0.0.2: icmp_seq=3 ttl=64 time=236 ms
1741593999.111777747 64 bytes from 10.0.0.2: icmp_seq=4 ttl=64 time=330 ms
1741593999.297837011 64 bytes from 10.0.0.2: icmp_seq=5 ttl=64 time=413 ms
1741593999.532635985 64 bytes from 10.0.0.2: icmp_seq=6 ttl=64 time=547 ms
1741593999.726955994 64 bytes from 10.0.0.2: icmp_seq=7 ttl=64 time=638 ms
1741593999.913081536 64 bytes from 10.0.0.2: icmp_seq=8 ttl=64 time=723 ms
1741594000.059194077 64 bytes from 10.0.0.2: icmp_seq=9 ttl=64 time=766 ms
1741594000.124440435 64 bytes from 10.0.0.2: icmp_seq=10 ttl=64 time=730 ms
1741594000.440342726 64 bytes from 10.0.0.2: icmp_seq=13 ttl=64 time=739 ms
1741594000.537335215 64 bytes from 10.0.0.2: icmp_seq=14 ttl=64 time=737 ms
1741594000.642957277 64 bytes from 10.0.0.2: icmp_seq=15 ttl=64 time=742 ms
1741594000.699849421 64 bytes from 10.0.0.2: icmp_seq=16 ttl=64 time=699 ms
1741594000.740949725 64 bytes from 10.0.0.2: icmp_seq=17 ttl=64 time=639 ms
1741594000.789745197 64 bytes from 10.0.0.2: icmp_seq=18 ttl=64 time=587 ms
1741594000.846548004 64 bytes from 10.0.0.2: icmp_seq=19 ttl=64 time=542 ms
1741594000.993118620 64 bytes from 10.0.0.2: icmp_seq=21 ttl=64 time=484 ms
1741594001.090040008 64 bytes from 10.0.0.2: icmp_seq=22 ttl=64 time=481 ms
1741594001.310179764 64 bytes from 10.0.0.2: icmp_seq=24 ttl=64 time=498 ms
1741594001.405993809 64 bytes from 10.0.0.2: icmp_seq=25 ttl=64 time=494 ms
1741594001.503388132 64 bytes from 10.0.0.2: icmp_seq=26 ttl=64 time=491 ms
1741594001.592838818 64 bytes from 10.0.0.2: icmp_seq=27 ttl=64 time=480 ms
1741594001.706303411 64 bytes from 10.0.0.2: icmp_seq=28 ttl=64 time=489 ms
1741594001.811982652 64 bytes from 10.0.0.2: icmp_seq=29 ttl=64 time=491 ms
1741594001.893132372 64 bytes from 10.0.0.2: icmp_seq=30 ttl=64 time=472 ms
1741594001.990410020 64 bytes from 10.0.0.2: icmp_seq=31 ttl=64 time=469 ms
1741594002.072041199 64 bytes from 10.0.0.2: icmp_seq=32 ttl=64 time=450 ms
1741594002.226138358 64 bytes from 10.0.0.2: icmp_seq=33 ttl=64 time=504 ms
1741594002.436592371 64 bytes from 10.0.0.2: icmp_seq=34 ttl=64 time=614 ms
1741594002.550102214 64 bytes from 10.0.0.2: icmp_seq=35 ttl=64 time=627 ms
1741594002.649351494 64 bytes from 10.0.0.2: icmp_seq=36 ttl=64 time=626 ms
1741594002.698267375 64 bytes from 10.0.0.2: icmp_seq=37 ttl=64 time=574 ms
1741594002.747301919 64 bytes from 10.0.0.2: icmp_seq=38 ttl=64 time=522 ms
1741594002.804318426 64 bytes from 10.0.0.2: icmp_seq=39 ttl=64 time=479 ms
1741594002.861528486 64 bytes from 10.0.0.2: icmp_seq=40 ttl=64 time=432 ms
1741594002.958549422 64 bytes from 10.0.0.2: icmp_seq=41 ttl=64 time=429 ms
1741594003.112689165 64 bytes from 10.0.0.2: icmp_seq=42 ttl=64 time=482 ms
1741594003.202106394 64 bytes from 10.0.0.2: icmp_seq=43 ttl=64 time=472 ms
1741594003.315646652 64 bytes from 10.0.0.2: icmp_seq=44 ttl=64 time=484 ms
1741594003.413102801 64 bytes from 10.0.0.2: icmp_seq=45 ttl=64 time=480 ms
1741594003.494200632 64 bytes from 10.0.0.2: icmp_seq=46 ttl=64 time=461 ms
1741594003.583815102 64 bytes from 10.0.0.2: icmp_seq=47 ttl=64 time=450 ms
1741594003.681184706 64 bytes from 10.0.0.2: icmp_seq=48 ttl=64 time=447 ms
1741594003.794650178 64 bytes from 10.0.0.2: icmp_seq=49 ttl=64 time=460 ms
1741594003.892169678 64 bytes from 10.0.0.2: icmp_seq=50 ttl=64 time=457 ms
1741594003.989451392 64 bytes from 10.0.0.2: icmp_seq=51 ttl=64 time=454 ms
1741594004.102960931 64 bytes from 10.0.0.2: icmp_seq=52 ttl=64 time=467 ms
1741594004.192439853 64 bytes from 10.0.0.2: icmp_seq=53 ttl=64 time=456 ms
1741594004.289776458 64 bytes from 10.0.0.2: icmp_seq=54 ttl=64 time=453 ms
1741594004.387378270 64 bytes from 10.0.0.2: icmp_seq=55 ttl=64 time=450 ms
1741594004.509026111 64 bytes from 10.0.0.2: icmp_seq=56 ttl=64 time=471 ms
1741594004.614269440 64 bytes from 10.0.0.2: icmp_seq=57 ttl=64 time=476 ms
1741594004.711792549 64 bytes from 10.0.0.2: icmp_seq=58 ttl=64 time=473 ms
1741594004.825286443 64 bytes from 10.0.0.2: icmp_seq=59 ttl=64 time=486 ms
1741594004.922760483 64 bytes from 10.0.0.2: icmp_seq=60 ttl=64 time=483 ms
1741594005.020240967 64 bytes from 10.0.0.2: icmp_seq=61 ttl=64 time=480 ms
1741594005.133821649 64 bytes from 10.0.0.2: icmp_seq=62 ttl=64 time=493 ms
1741594005.231291770 64 bytes from 10.0.0.2: icmp_seq=63 ttl=64 time=491 ms
1741594005.328638431 64 bytes from 10.0.0.2: icmp_seq=64 ttl=64 time=488 ms
1741594005.450724005 64 bytes from 10.0.0.2: icmp_seq=65 ttl=64 time=509 ms
1741594005.547842559 64 bytes from 10.0.0.2: icmp_seq=66 ttl=64 time=506 ms
1741594005.653314016 64 bytes from 10.0.0.2: icmp_seq=67 ttl=64 time=509 ms
1741594005.750865271 64 bytes from 10.0.0.2: icmp_seq=68 ttl=64 time=506 ms
1741594005.839936198 64 bytes from 10.0.0.2: icmp_seq=69 ttl=64 time=495 ms
1741594005.961447013 64 bytes from 10.0.0.2: icmp_seq=70 ttl=64 time=517 ms
1741594006.058800136 64 bytes from 10.0.0.2: icmp_seq=71 ttl=64 time=514 ms
1741594006.172317834 64 bytes from 10.0.0.2: icmp_seq=72 ttl=64 time=527 ms
1741594006.269919936 64 bytes from 10.0.0.2: icmp_seq=73 ttl=64 time=523 ms
1741594006.367337610 64 bytes from 10.0.0.2: icmp_seq=74 ttl=64 time=517 ms
1741594006.480734088 64 bytes from 10.0.0.2: icmp_seq=75 ttl=64 time=528 ms
1741594006.594326830 64 bytes from 10.0.0.2: icmp_seq=76 ttl=64 time=541 ms
1741594006.691861925 64 bytes from 10.0.0.2: icmp_seq=77 ttl=64 time=538 ms
1741594006.805417833 64 bytes from 10.0.0.2: icmp_seq=78 ttl=64 time=551 ms
1741594006.902863585 64 bytes from 10.0.0.2: icmp_seq=79 ttl=64 time=548 ms
1741594007.008300712 64 bytes from 10.0.0.2: icmp_seq=80 ttl=64 time=553 ms
1741594007.105783155 64 bytes from 10.0.0.2: icmp_seq=81 ttl=64 time=550 ms
1741594007.203184306 64 bytes from 10.0.0.2: icmp_seq=82 ttl=64 time=547 ms
1741594007.308762236 64 bytes from 10.0.0.2: icmp_seq=83 ttl=64 time=552 ms
1741594007.414247131 64 bytes from 10.0.0.2: icmp_seq=84 ttl=64 time=557 ms
1741594007.513225909 64 bytes from 10.0.0.2: icmp_seq=85 ttl=64 time=554 ms
1741594007.633325518 64 bytes from 10.0.0.2: icmp_seq=86 ttl=64 time=575 ms
1741594007.730868850 64 bytes from 10.0.0.2: icmp_seq=87 ttl=64 time=572 ms
1741594007.828116293 64 bytes from 10.0.0.2: icmp_seq=88 ttl=64 time=569 ms
1741594007.933717823 64 bytes from 10.0.0.2: icmp_seq=89 ttl=64 time=574 ms
1741594008.039235095 64 bytes from 10.0.0.2: icmp_seq=90 ttl=64 time=579 ms
1741594008.128448366 64 bytes from 10.0.0.2: icmp_seq=91 ttl=64 time=568 ms
1741594008.242451419 64 bytes from 10.0.0.2: icmp_seq=92 ttl=64 time=581 ms
1741594008.339802351 64 bytes from 10.0.0.2: icmp_seq=93 ttl=64 time=579 ms
1741594008.453458460 64 bytes from 10.0.0.2: icmp_seq=94 ttl=64 time=592 ms
1741594008.550794644 64 bytes from 10.0.0.2: icmp_seq=95 ttl=64 time=589 ms
1741594008.648157448 64 bytes from 10.0.0.2: icmp_seq=96 ttl=64 time=586 ms
1741594008.753544856 64 bytes from 10.0.0.2: icmp_seq=97 ttl=64 time=591 ms
1741594008.875372080 64 bytes from 10.0.0.2: icmp_seq=98 ttl=64 time=612 ms
1741594008.972900533 64 bytes from 10.0.0.2: icmp_seq=99 ttl=64 time=609 ms
1741594009.070167352 64 bytes from 10.0.0.2: icmp_seq=100 ttl=64 time=606 ms
1741594009.159683498 64 bytes from 10.0.0.2: icmp_seq=101 ttl=64 time=595 ms
1741594009.273587710 64 bytes from 10.0.0.2: icmp_seq=102 ttl=64 time=608 ms
1741594009.370930022 64 bytes from 10.0.0.2: icmp_seq=103 ttl=64 time=606 ms
1741594009.484760406 64 bytes from 10.0.0.2: icmp_seq=104 ttl=64 time=620 ms
1741594009.581973897 64 bytes from 10.0.0.2: icmp_seq=105 ttl=64 time=616 ms
1741594009.687426381 64 bytes from 10.0.0.2: icmp_seq=106 ttl=64 time=621 ms
1741594009.792912632 64 bytes from 10.0.0.2: icmp_seq=107 ttl=64 time=623 ms
1741594009.890359886 64 bytes from 10.0.0.2: icmp_seq=108 ttl=64 time=617 ms
1741594010.003829536 64 bytes from 10.0.0.2: icmp_seq=109 ttl=64 time=623 ms
1741594010.109397554 64 bytes from 10.0.0.2: icmp_seq=110 ttl=64 time=625 ms
1741594010.222953891 64 bytes from 10.0.0.2: icmp_seq=111 ttl=64 time=631 ms
1741594010.336575433 64 bytes from 10.0.0.2: icmp_seq=112 ttl=64 time=639 ms
1741594010.442153883 64 bytes from 10.0.0.2: icmp_seq=113 ttl=64 time=639 ms
1741594010.539580923 64 bytes from 10.0.0.2: icmp_seq=114 ttl=64 time=636 ms
1741594010.636819333 64 bytes from 10.0.0.2: icmp_seq=115 ttl=64 time=633 ms
1741594010.750197823 64 bytes from 10.0.0.2: icmp_seq=116 ttl=64 time=645 ms
1741594010.847732222 64 bytes from 10.0.0.2: icmp_seq=117 ttl=64 time=642 ms
1741594010.961435106 64 bytes from 10.0.0.2: icmp_seq=118 ttl=64 time=655 ms
1741594011.058706687 64 bytes from 10.0.0.2: icmp_seq=119 ttl=64 time=652 ms
1741594011.148104498 64 bytes from 10.0.0.2: icmp_seq=120 ttl=64 time=641 ms
1741594011.261630174 64 bytes from 10.0.0.2: icmp_seq=121 ttl=64 time=654 ms
1741594011.375158802 64 bytes from 10.0.0.2: icmp_seq=122 ttl=64 time=667 ms
1741594011.480818855 64 bytes from 10.0.0.2: icmp_seq=123 ttl=64 time=673 ms
1741594011.578127553 64 bytes from 10.0.0.2: icmp_seq=124 ttl=64 time=670 ms
1741594011.667410844 64 bytes from 10.0.0.2: icmp_seq=125 ttl=64 time=659 ms
1741594011.781067034 64 bytes from 10.0.0.2: icmp_seq=126 ttl=64 time=672 ms
1741594011.878473495 64 bytes from 10.0.0.2: icmp_seq=127 ttl=64 time=669 ms
1741594011.976052161 64 bytes from 10.0.0.2: icmp_seq=128 ttl=64 time=666 ms
1741594012.073572811 64 bytes from 10.0.0.2: icmp_seq=129 ttl=64 time=663 ms
1741594012.195124902 64 bytes from 10.0.0.2: icmp_seq=130 ttl=64 time=684 ms
1741594012.300673013 64 bytes from 10.0.0.2: icmp_seq=131 ttl=64 time=689 ms
1741594012.397963057 64 bytes from 10.0.0.2: icmp_seq=132 ttl=64 time=686 ms
1741594012.495405129 64 bytes from 10.0.0.2: icmp_seq=133 ttl=64 time=683 ms
1741594012.608906708 64 bytes from 10.0.0.2: icmp_seq=134 ttl=64 time=696 ms
1741594012.706347140 64 bytes from 10.0.0.2: icmp_seq=135 ttl=64 time=693 ms
1741594012.803816021 64 bytes from 10.0.0.2: icmp_seq=136 ttl=64 time=690 ms
1741594012.917474494 64 bytes from 10.0.0.2: icmp_seq=137 ttl=64 time=703 ms
1741594013.006698734 64 bytes from 10.0.0.2: icmp_seq=138 ttl=64 time=692 ms
1741594013.120237969 64 bytes from 10.0.0.2: icmp_seq=139 ttl=64 time=705 ms
1741594013.217602237 64 bytes from 10.0.0.2: icmp_seq=140 ttl=64 time=702 ms
1741594013.314937485 64 bytes from 10.0.0.2: icmp_seq=141 ttl=64 time=696 ms
1741594013.412521421 64 bytes from 10.0.0.2: icmp_seq=142 ttl=64 time=693 ms
1741594013.521960399 64 bytes from 10.0.0.2: icmp_seq=143 ttl=64 time=702 ms
1741594013.635741393 64 bytes from 10.0.0.2: icmp_seq=144 ttl=64 time=708 ms
1741594013.740922824 64 bytes from 10.0.0.2: icmp_seq=145 ttl=64 time=713 ms
1741594013.822144925 64 bytes from 10.0.0.2: icmp_seq=146 ttl=64 time=692 ms
1741594013.823443600 64 bytes from 10.0.0.2: icmp_seq=147 ttl=64 time=592 ms
1741594013.904033999 64 bytes from 10.0.0.2: icmp_seq=148 ttl=64 time=573 ms
1741594013.969061488 64 bytes from 10.0.0.2: icmp_seq=149 ttl=64 time=538 ms
